katyperry: 109581520
justinbieber: 106525921
BarackObama: 103189327
rihanna: 88731597
taylorswift13: 85546687
ladygaga: 78870465
TheEllenShow: 78087299
Cristiano: 73854694
YouTube: 72303238
jtimberlake: 66057817
Twitter: 62794480
KimKardashian: 60160965
britneyspears: 58174824
ArianaGrande: 57599978
ddlovato: 57190958
selenagomez: 56956828
cnnbrk: 55057627
realDonaldTrump: 52876915
shakira: 52023743
jimmyfallon: 51230911
BillGates: 46234872
JLo: 45308311
narendramodi: 43091767
BrunoMars: 42968520
Oprah: 42653941
nytimes: 42221587
KingJames: 41790154
MileyCyrus: 41251181
CNN: 40569719
NiallOfficial: 40224084
neymarjr: 40211576
instagram: 38858199
BBCBreaking: 38342355
Drake: 37446254
iamsrk: 35837669
SportsCenter: 35764100
KevinHart4real: 35262379
SrBachchan: 34710622
LilTunechi: 34445949
espn: 34233493
wizkhalifa: 34009548
BeingSalmanKhan: 33850847
Louis_Tomlinson: 33659517
Pink: 33134979
LiamPayne: 33040492
Harry_Styles: 32769766
onedirection: 31561161
aliciakeys: 30992858
realmadrid: 30795099
KAKA: 30315096
NASA: 29602276
FCBarcelona: 29303444
ConanOBrien: 29186554
EmmaWatson: 29149380
chrisbrown: 29114787
Adele: 28903219
kanyewest: 28469404
NBA: 27870826
ActuallyNPH: 27647986
zaynmalik: 27555855
pitbull: 27296197
akshaykumar: 27288606
danieltosh: 27255583
KendallJenner: 26967955
PMOIndia: 26544467
sachin_rt: 26519425
khloekardashian: 26420103
imVkohli: 25578504
KylieJenner: 25542578
coldplay: 24998299
NFL: 24658833
deepikapadukone: 24234393
kourtneykardash: 24090723
iHrithik: 23935617
BBCWorld: 23559193
aamir_khan: 23508921
TheEconomist: 23454618
andresiniesta8: 23433429
POTUS: 23404632
MesutOzil1088: 23194073
HillaryClinton: 23077848
priyankachopra: 22957882
Eminem: 22955769
NatGeo: 22792892
AvrilLavigne: 22427664
davidguetta: 22171156
elonmusk: 22003975
MohamadAlarefe: 21668430
ChampionsLeague: 21639009
NICKIMINAJ: 21372594
MariahCarey: 21357106
blakeshelton: 21154878
ricky_martin: 21021150
Google: 20663666
arrahman: 20219709
edsheeran: 20142921
Reuters: 19810001
AlejandroSanz: 19768795
LeoDiCaprio: 19329894
Dr_alqarnee: 19269410
ShawnMendes: 19230987
aplusk: 19153861
DalaiLama: 18874758
3gerardpique: 18780575
JimCarrey: 18565971
StephenAtHome: 18491674
ManUtd: 18328773
shugairi: 18165247
SnoopDogg: 18108670
ParisHilton: 18086598
premierleague: 18072255
10Ronaldinho: 17962847
FoxNews: 17941619
Pontifex: 17903395
AlArabiya_Brk: 17826013
agnezmo: 17788021
KDTrey5: 17642914
virendersehwag: 17533106
aliaa08: 17455846
xtina: 17318571
WhiteHouse: 17264311
WayneRooney: 17192728
