katyperry: 108000900
justinbieber: 113000200
BarackObama: 126000700
rihanna: 99000700
taylorswift13: 87500000
ladygaga: 82000000800
TheEllenShow: 79400000
Cristiano: 89500000
YouTube: 72400000
jtimberlake: 64200000
Twitter: 58500000
KimKardashian: 67700000
britneyspears: 55800000
ArianaGrande: 79200000
ddlovato: 55400000
selenagomez: 63700000
cnnbrk: 59700000
realDonaldTrump: 88800000
shakira: 52500000
jimmyfallon: 51800000
BillGates: 52700000
JLo: 45200000
narendramodi: 63800000
BrunoMars: 43100000
Oprah: 43400000
nytimes: 48200000
KingJames: 48300000
MileyCyrus: 45400000
CNN: 51100000
NiallOfficial: 40700000
neymarjr: 50600000
instagram: 34900000
BBCBreaking: 46700000
Drake: 39200000
iamsrk: 41300000
SportsCenter: 37200000
KevinHart4real: 35262379
SrBachchan: 44700000
LilTunechi: 34900000
espn: 36100000
wizkhalifa: 36500000
BeingSalmanKhan: 41800000
Louis_Tomlinson: 35000000
Pink: 32000000
LiamPayne: 34200000
Harry_Styles: 35800000
onedirection: 31500000
aliciakeys: 30200000
realmadrid: 11700000
KAKA: 29500000
NASA: 42100000
FCBarcelona: 34600000
ConanOBrien: 28600000
EmmaWatson: 29200000
chrisbrown: 32500000
Adele: 26900000
kanyewest: 30900000
NBA: 31600000
ActuallyNPH: 26200000
zaynmalik: 29900000
pitbull: 25500000
akshaykumar: 39800000
danieltosh: 25000000
KendallJenner: 30300000
PMOIndia: 26544467
sachin_rt: 24500000
khloekardashian: 28700000
imVkohli: 39100000
KylieJenner: 36300000
coldplay: 23300000
NFL: 25700000
deepikapadukone: 27.600.000
kourtneykardash: 25600000
iHrithik: 29000000
BBCWorld: 30000000
aamir_khan: 26500000
TheEconomist: 25200000
andresiniesta8: 25000000
POTUS: 32900000
MesutOzil1088: 25200000
HillaryClinton: 29800000
priyankachopra: 26700000
Eminem: 22800000
NatGeo: 24900000
AvrilLavigne: 21000000
davidguetta: 20700000
elonmusk: 40300000
MohamadAlarefe: 19900000
ChampionsLeague: 31400000
NICKIMINAJ: 21400000
MariahCarey: 21600000
blakeshelton: 20200000
ricky_martin: 20400000
Google: 22300000
arrahman: 23400000
edsheeran: 18000000
Reuters: 22700000
AlejandroSanz: 19700000
LeoDiCaprio: 19400000
Dr_alqarnee: 19700000
ShawnMendes: 26000000
aplusk: 17500000
DalaiLama: 19300000
3gerardpique: 19800000
JimCarrey: 18800000
StephenAtHome: 19100000
ManUtd: 23800000
shugairi: 18300000
SnoopDogg: 19000000
ParisHilton: 16800000
premierleague: 23900000
10Ronaldinho: 19800000
FoxNews: 20100000
Pontifex: 18800000
AlArabiya_Brk: 20000000
agnezmo: 17800000
KDTrey5: 18600000
virendersehwag: 21300000
aliaa08: 20700000
xtina: 16900000
WhiteHouse: 25800000
WayneRooney: 17100000
